id,en,wikipedia
330,Actrius,https://en.wikipedia.org/wiki/Actrius
1000,"Hercule Poirot",https://en.wikipedia.org/wiki/Hercule%20Poirot
1002,"Miss Marple",https://en.wikipedia.org/wiki/Miss%20Marple
2083,"Auguste and Louis Lumière",https://en.wikipedia.org/wiki/Auguste%20and%20Louis%20Lumi%C3%A8re
2101,Asterix,https://en.wikipedia.org/wiki/Asterix
2152,"All Quiet on the Western Front",https://en.wikipedia.org/wiki/All%20Quiet%20on%20the%20Western%20Front
3032,"A Funny Thing Happened on the Way to the Forum",https://en.wikipedia.org/wiki/A%20Funny%20Thing%20Happened%20on%20the%20Way%20to%20the%20Forum
3144,"A Doll's House",https://en.wikipedia.org/wiki/A%20Doll%27s%20House
3217,"Army of Darkness",https://en.wikipedia.org/wiki/Army%20of%20Darkness
3333,"The Birth of a Nation",https://en.wikipedia.org/wiki/The%20Birth%20of%20a%20Nation
3376,"The Beverly Hillbillies",https://en.wikipedia.org/wiki/The%20Beverly%20Hillbillies
3427,"Beavis and Butt-Head",https://en.wikipedia.org/wiki/Beavis%20and%20Butt-Head
3746,"Blade Runner",https://en.wikipedia.org/wiki/Blade%20Runner
3836,"Barb Wire",https://en.wikipedia.org/wiki/Barb%20Wire
3837,"Blazing Saddles",https://en.wikipedia.org/wiki/Blazing%20Saddles
3947,"Blue Velvet",https://en.wikipedia.org/wiki/Blue%20Velvet%20%28film%29
4227,"Barry Lyndon",https://en.wikipedia.org/wiki/Barry%20Lyndon
4231,"Buffy the Vampire Slayer",https://en.wikipedia.org/wiki/Buffy%20the%20Vampire%20Slayer%20%28film%29
4335,Batman,https://en.wikipedia.org/wiki/Batman
4560,Braveheart,https://en.wikipedia.org/wiki/Braveheart
4726,Batman,https://en.wikipedia.org/wiki/Batman%20%281989%20film%29
4727,Batman,https://en.wikipedia.org/wiki/Batman%20%281966%20film%29
4728,"Batman Returns",https://en.wikipedia.org/wiki/Batman%20Returns
4729,"Batman & Robin",https://en.wikipedia.org/wiki/Batman%20%26%20Robin%20%28film%29
4730,"Batman Forever",https://en.wikipedia.org/wiki/Batman%20Forever
5035,"Bride of the Monster",https://en.wikipedia.org/wiki/Bride%20of%20the%20Monster
5224,"Citizen Kane",https://en.wikipedia.org/wiki/Citizen%20Kane
5313,"Crouching Tiger, Hidden Dragon",https://en.wikipedia.org/wiki/Crouching%20Tiger%2C%20Hidden%20Dragon
5725,"Cthulhu Mythos",https://en.wikipedia.org/wiki/Cthulhu%20Mythos
5729,"Chariots of Fire",https://en.wikipedia.org/wiki/Chariots%20of%20Fire
6629,Candide,https://en.wikipedia.org/wiki/Candide
6713,"Conan the Barbarian",https://en.wikipedia.org/wiki/Conan%20the%20Barbarian
7729,"Captain America",https://en.wikipedia.org/wiki/Captain%20America
7906,"Destry Rides Again",https://en.wikipedia.org/wiki/Destry%20Rides%20Again
7966,Disco,https://en.wikipedia.org/wiki/Disco
8209,"Doctor Who",https://en.wikipedia.org/wiki/Doctor%20Who
8237,"Don Quixote",https://en.wikipedia.org/wiki/Don%20Quixote
8412,Doraemon,https://en.wikipedia.org/wiki/Doraemon
8481,"Dressed to Kill",https://en.wikipedia.org/wiki/Dressed%20to%20Kill%20%281980%20film%29
8695,"Dr. Strangelove",https://en.wikipedia.org/wiki/Dr.%20Strangelove
8708,"Doctor Syn",https://en.wikipedia.org/wiki/Doctor%20Syn
8994,"Das Boot",https://en.wikipedia.org/wiki/Das%20Boot
9294,"The Evil Dead",https://en.wikipedia.org/wiki/The%20Evil%20Dead
9429,"Young and Innocent",https://en.wikipedia.org/wiki/Young%20and%20Innocent
9835,"Escape from New York",https://en.wikipedia.org/wiki/Escape%20from%20New%20York
9979,"Eyes Wide Shut",https://en.wikipedia.org/wiki/Eyes%20Wide%20Shut
9995,EastEnders,https://en.wikipedia.org/wiki/EastEnders
10193,"Enter the Dragon",https://en.wikipedia.org/wiki/Enter%20the%20Dragon
10487,"Evil Dead II",https://en.wikipedia.org/wiki/Evil%20Dead%20II
10951,"Fahrenheit 451",https://en.wikipedia.org/wiki/Fahrenheit%20451
10977,Fearless,https://en.wikipedia.org/wiki/Fearless%20%281993%20film%29
